ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Enrollment_Year,Enrollment_Month,Enrollment_Day,Age,Customer_Age,Customer_Tenure,Total_Children,Family_Size,Total_Spending,Total_Purchases,Total_Campaign_Acceptance,Avg_Spending_Per_Purchase,Digital_Engagement,Deal_Dependency,Preferred_Shopping_Channel,Product_Preference,Customer_Activity_Level
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,2012,9,4,69,69,5077,0,1,1617,25,1,64.68,15,0.12,Catalog,Wines,Medium
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,2014,3,8,72,72,4527,2,3,27,6,0,4.5,6,0.3333333333333333,Store,Wines,Medium
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,2013,8,21,61,61,4726,0,2,776,21,0,36.95238095238095,12,0.047619047619047616,Store,Wines,High
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,2014,2,10,42,42,4553,1,3,53,8,0,6.625,8,0.25,Store,MeatProducts,Medium
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,2014,1,19,45,45,4575,1,3,422,19,0,22.210526315789473,10,0.2631578947368421,Store,Wines,Low
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,2013,9,9,59,59,4707,1,3,716,22,0,32.54545454545455,12,0.09090909090909091,Store,Wines,High
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,2012,11,13,55,55,5007,1,2,590,21,0,28.095238095238095,13,0.19047619047619047,Web,Wines,Medium
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,2013,5,8,41,41,4831,1,3,169,10,0,16.9,12,0.2,Web,Wines,Medium
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,2013,6,6,52,52,4802,1,3,46,6,1,7.666666666666667,12,0.16666666666666666,Web,MeatProducts,Medium
5899,1950,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,2014,3,13,76,76,4522,2,4,49,2,1,24.5,21,0.5,Web,Wines,Low
1994,1983,Graduation,Married,51381.5,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2013,11,15,43,43,4640,1,3,19,4,0,4.75,8,0.25,Store,MeatProducts,Medium
387,1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,2012,11,13,50,50,5007,0,2,61,6,0,10.166666666666666,10,0.16666666666666666,Store,Fruits,Medium
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,2013,11,15,67,67,4640,0,1,1102,16,0,68.875,5,0.0625,Store,MeatProducts,Low
8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,2013,11,15,74,74,4640,2,3,310,15,0,20.666666666666668,12,0.2,Web,Wines,Medium
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,2012,10,10,39,39,5041,0,2,46,5,0,9.2,9,0.2,Store,MeatProducts,Medium
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,2012,11,24,80,80,4996,0,1,1315,26,3,50.57692307692308,10,0.038461538461538464,Store,Wines,High
9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,2012,12,24,46,46,4966,2,4,96,9,0,10.666666666666666,11,0.3333333333333333,Web,Wines,Medium
4939,1946,Graduation,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,2012,8,31,80,80,5081,0,2,317,13,0,24.384615384615383,11,0.15384615384615385,Store,FishProducts,Medium
6565,1949,Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,2013,3,28,77,77,4872,1,3,1782,26,1,68.53846153846153,16,0.07692307692307693,Web,Wines,Low
2278,1985,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,2012,11,3,41,41,5017,1,2,133,8,0,16.625,8,0.25,Store,GoldProds,Low
