Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_Age,Customer_Tenure,Total_Children,Family_Size,Total_Spending,Total_Purchases,Total_Campaign_Acceptance,Avg_Spending_Per_Purchase,Digital_Engagement,Deal_Dependency,Education_Encoded,Marital_Divorced,Marital_Married,Marital_Other,Marital_Single,Marital_Together,Marital_Widowed,Channel_Catalog,Channel_None,Channel_Store,Channel_Web,Product_FishProducts,Product_Fruits,Product_GoldProds,Product_MeatProducts,Product_SweetProducts,Product_Wines,Customer_Activity_Level_Encoded
58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,69,5077,0,1,1617,25,1,64.68,15,0.12,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,72,4527,2,3,27,6,0,4.5,6,0.3333333333333333,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,61,4726,0,2,776,21,0,36.95238095238095,12,0.047619047619047616,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2
26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,42,4553,1,3,53,8,0,6.625,8,0.25,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,45,4575,1,3,422,19,0,22.210526315789473,10,0.2631578947368421,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,59,4707,1,3,716,22,0,32.54545454545455,12,0.09090909090909091,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2
55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,55,5007,1,2,590,21,0,28.095238095238095,13,0.19047619047619047,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,41,4831,1,3,169,10,0,16.9,12,0.2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,52,4802,1,3,46,6,1,7.666666666666667,12,0.16666666666666666,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
5648.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,76,4522,2,4,49,2,1,24.5,21,0.5,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
51381.5,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,43,4640,1,3,19,4,0,4.75,8,0.25,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
