Customer_Age,Income,Total_Spending,Recency,Customer_Tenure,Family_Size,Total_Children,Total_Purchases,Total_Campaign_Acceptance,NumWebPurchases,NumStorePurchases,NumCatalogPurchases
69,58138.0,1617,58,5077,1,0,25,1,8,4,10
72,46344.0,27,38,4527,3,2,6,0,1,2,1
61,71613.0,776,26,4726,2,0,21,0,8,10,2
42,26646.0,53,26,4553,3,1,8,0,2,4,0
45,58293.0,422,94,4575,3,1,19,0,5,6,3
59,62513.0,716,16,4707,3,1,22,0,6,10,4
55,55635.0,590,34,5007,2,1,21,0,7,7,3
41,33454.0,169,32,4831,3,1,10,0,4,4,0
52,30351.0,46,19,4802,3,1,6,1,3,2,0
76,5648.0,49,68,4522,4,2,2,1,1,0,0
43,51381.5,19,11,4640,3,1,4,0,1,2,0
50,7500.0,61,59,5007,2,0,6,0,2,3,0
67,63033.0,1102,82,4640,1,0,16,0,3,8,4
74,59354.0,310,53,4640,3,2,15,0,6,5,1
39,17323.0,46,38,5041,2,0,5,0,1,3,0
80,82800.0,1315,23,4996,1,0,26,3,7,12,6
46,41850.0,96,51,4966,4,2,9,0,3,3,0
80,37760.0,317,20,5081,2,0,13,0,4,6,1
77,76995.0,1782,91,4872,3,1,26,1,11,9,4
41,33812.0,133,86,5017,2,1,8,0,2,3,1
44,37040.0,316,41,5104,2,0,12,0,4,5,2
47,2447.0,1730,42,4953,3,1,43,0,0,0,28
77,58607.0,972,63,4967,3,1,17,1,2,9,3
72,65324.0,544,0,4583,3,1,20,0,6,9,2
75,40689.0,444,69,4882,3,1,20,0,7,5,1
57,18589.0,75,89,4957,1,0,8,0,2,3,1
50,53359.0,257,4,4812,4,2,14,0,5,4,1
40,51381.5,637,19,4908,2,1,27,0,27,0,0
37,38360.0,131,26,4808,3,1,9,0,2,4,1
61,84618.0,1672,96,4633,2,0,26,1,6,10,9
37,10979.0,30,34,4452,1,0,8,0,3,3,0
63,38620.0,318,56,4828,2,0,11,0,2,3,5
56,40548.0,120,31,5041,3,1,9,1,2,4,1
74,46610.0,302,8,5022,3,2,17,1,4,6,1
80,68657.0,1196,4,4908,2,0,18,0,3,9,5
75,49389.0,65,55,4718,3,2,6,0,2,3,0
56,67353.0,913,37,4594,3,1,28,0,5,12,6
50,23718.0,81,76,4714,3,1,9,0,3,2,1
53,42429.0,67,99,4552,2,1,7,0,1,3,1
83,48948.0,902,53,4927,1,0,24,2,7,5,10
46,80011.0,1395,3,4840,3,1,21,0,8,5,6
41,20559.0,53,88,4888,3,1,7,0,2,3,0
69,21994.0,22,4,4966,3,1,4,0,0,3,0
67,51381.5,186,80,4650,1,0,9,0,1,4,3
51,7500.0,31,19,4684,3,1,8,0,2,3,0
50,79941.0,984,72,4415,1,0,16,0,2,9,4
30,7500.0,122,24,5011,2,0,10,1,3,3,1
58,41728.0,55,92,4815,3,1,5,0,2,2,0
75,51381.5,124,96,4593,4,3,10,0,2,4,1
72,72550.0,1319,39,5012,4,2,28,0,5,12,2
69,65486.0,507,29,4462,2,1,17,0,4,10,2
62,79143.0,1693,2,5101,2,0,29,0,6,13,9
49,35790.0,72,54,4957,2,1,7,0,2,3,0
49,82582.0,1617,54,4436,1,0,21,3,4,7,9
48,66373.0,606,57,4796,4,2,23,0,4,10,2
71,82384.0,1957,55,5001,2,0,27,2,3,13,10
60,70287.0,1093,30,4867,1,0,21,1,5,10,5
38,27938.0,29,31,4476,2,1,6,0,1,4,0
44,51381.5,46,57,4791,2,1,7,0,2,3,0
58,55954.0,518,63,4532,3,1,19,0,8,6,2
44,75777.0,1438,12,4774,1,0,21,3,3,11,6
51,66653.0,612,18,5074,4,2,22,0,4,12,2
74,61823.0,884,26,4910,2,1,24,0,8,10,2
75,67680.0,606,8,4797,2,1,19,0,7,8,3
78,70666.0,1076,29,4619,2,0,16,0,7,4,4
55,25721.0,34,75,4818,3,1,5,1,1,2,1
59,32474.0,11,0,4463,4,2,4,0,1,2,0
47,88194.0,1274,19,4516,2,1,32,3,11,10,10
68,69096.0,653,4,4689,3,1,18,0,5,10,2
56,74854.0,1562,90,4861,5,3,19,0,2,5,5
72,66991.0,1253,1,5070,2,0,21,0,4,6,8
